取込対象	内部振替	OCR元ファイルID	OCR元ファイル名	ページ	行番号	日付	金額	摘要	相手	科目	OCR方式
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	12	2025-06-02	522575	笠信ｺﾛﾅ 3000（492） 長期借入金 笠信ｺﾛﾅ3000(492)	笠岡信用組合	諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	13	2025-06-02	104041	笠信 貸付利息 笠信 貸付利息	笠岡信用組合 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	16	2025-06-02	659440	社会保険料 4月分 社会保険料 4月分	笠岡信用組合 社会保険料	未払金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	18	2025-06-02	27616	融資利息 融資利息	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	19	2025-06-02	404000	長期借入返済 長期借入返済	もみじ福山支店 もみじ404000	長期借入金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	20	2025-06-02	45471	融資利息 融資利息	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	21	2025-06-02	890000	長期借入返済 長期借入返済	もみじ福山支店 もみじ890000	長期借入金	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	22	2025-06-02	124537	融資利息 融資利息	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	23	2025-06-02	2200	ﾋﾞｰﾌｨｰﾙﾄﾞ ﾋﾞｰﾌｨｰﾙﾄﾞ	もみじ福山支店 コアシステムス゛本社 仕共内10	事務所維持費	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	25	2025-06-02	70747	日本政策公庫 日本政策公庫	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	26	2025-06-02	82775	日本政策公庫 日本政策公庫	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	27	2025-06-02	131389	日本政策公庫 日本政策公庫	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	28	2025-06-02	229315	日本政策公庫 日本政策公庫	もみじ福山支店 支払利息34 本社	支払利息	embedded_text
N	Y	140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	29	2025-06-02	1900000	広銀蔵王より広島本社へ資金移動 広銀本社へ資金移動	広島銀行② 広島(蔵王) 本社	普通預金(入金)	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	30	2025-06-02	1043380	ﾄﾖﾀ/ﾗｲｽﾞ0140214 小川洵	広島銀行②	諸口	embedded_text
Y		140Fg34UWrvdYC8Gjo1nr1WmmHXHOCnf3	普通預金.pdf	1	107	2025-06-02	44411	ﾄﾖﾀﾌｧｲﾅﾝｽ ｶﾞｿﾘﾝ代、他 CB 燃料費 軽油税31	もみじ福山支店	諸口	embedded_text
