source_file,page,date,counter_account,counter_summary,debit_amount,credit_amount
総勘定元帳.pdf,1,2026/04/01,諸口,該当なし カ）ナルネツトコミニニケーシ ヨンズ,"66,850",
総勘定元帳.pdf,1,2026/04/02,売掛金 整備,街ユナイテッドクローバーズ様 SB24484,"27,280",
総勘定元帳.pdf,1,2026/04/03,諸口,※当なしトウキョウカイジョウニチド ウ 4322（ジドウシヤ．ジバイ）,"70,000",
総勘定元帳1.pdf,1,2026/04/01,諸口,該当なし EBフリコミ,,"10,757,167"
総勘定元帳1.pdf,1,2026/04/02,預り金 預かり法定費用,布望番号 金称洋人板橋 310 せ 460,,"5,000"
総勘定元帳1.pdf,1,2026/04/02,預り金 預かり法定費用,二井住友海上火災保険株目賠費休で コス,,"15,915"
総勘定元帳1.pdf,1,2026/04/02,諸口,CB 燃料費 軽油税31,,"82,196"
総勘定元帳1.pdf,1,2026/04/03,諸口,後当なし日屋長率4ミツイスミトモド！,,"29,480"
総勘定元帳4.6.1.pdf,1,2026/04/03,諸口,該当なし 口座提替4ミツイスミトモドL,,"29,480"
総勘定元帳4.6.1.pdf,1,2026/04/03,買掛金 車両,有西工薬休 MBGクラス W1N4653102X00 60 買取代金,,"223,500"
総勘定元帳4.6.1.pdf,1,2026/04/06,諸口,該当なし RL）（ゼイ）ミライケイ,,"88,000"
総勘定元帳4.6.pdf,1,2026/04/03,諸口,該当なしトウキョウカイジョウニチド ウ 4322（ジドウシヤ．ジバイ）,"70,000",
総勘定元帳4.6.pdf,1,2026/04/03,諸口,該当なし エクラ（カ,"1,550,000",
総勘定元帳4.9.1.pdf,1,2026/04/06,顧問料,未来経営福山事務所 3月分 太社 仕共内10,,"88,000"
総勘定元帳4.9.1.pdf,1,2026/04/06,預り金 住民税,住民税福山市 2026/03月分,,"72,800"
総勘定元帳4.9.1.pdf,1,2026/04/07,支払手数料 課税31,手数料 法人IB 本社. 仕課内10,,"1,210"
総勘定元帳4.9.2.pdf,1,2026/04/06,売掛金 整備,安保雅文様 SB24521,"99,000",
総勘定元帳4.9.2.pdf,1,2026/04/07,諸口,該当なし ミツイスミトモカイジョウB,"1,150,000",
総勘定元帳4.9.2.pdf,1,2026/04/08,諸口,該当なし サンエイセキユ（カ,"302,670",
